4,13,105,6.41573488112
4,13,104,47.3244947833
4,12,105,61.7097702346
4,15,104,24.2058075011
3,14,101,46.8198592199
5,13,101,50.2413653236
6,14,103,92.6704186843
4,15,105,35.5478284525
5,11,104,17.5692467797
6,11,104,63.7614052732
6,11,102,7.82289210653
3,15,102,12.7952002739
4,13,103,32.777482183
4,15,105,38.7365466997
4,13,102,35.8395255381
3,15,104,95.7425566444
3,14,101,47.6639220514
6,12,103,57.2449213478
6,12,101,17.1273145039
6,11,105,0.555519818083
6,15,104,83.8138360685
5,15,102,59.0075514373
6,11,103,72.4068219962
4,12,101,58.3682433101
5,11,102,63.330319355
4,15,104,23.8264176755
6,15,103,1.13598495035
3,13,104,59.8783795475
3,12,104,19.2379042811
3,15,104,96.4655533328
3,13,104,58.2835001781
3,11,102,7.70560064761
6,12,105,53.6964352569
5,15,101,96.3219700681
6,12,105,52.1244672983
5,15,105,33.1509619023
4,14,103,36.2325406981
5,14,104,40.7142206365
5,15,105,34.2496924646
3,14,105,50.0798180679
5,11,102,64.6465097603
3,11,102,8.24202114873
4,13,101,26.9494002345
3,13,101,32.3375638148
3,13,101,33.0952077538
4,15,101,79.7931542455
4,15,104,24.1569094496
5,12,103,30.9027669683
2,12,102,89.1180802897
6,14,105,96.8993567112
6,14,105,94.2898867222
5,14,103,69.1868952852
2,15,101,13.8529730766
2,11,103,11.9923411678
5,14,104,42.1687951371
4,12,101,59.2983040902
6,14,105,93.494348739
5,13,104,46.7868084848
5,12,105,89.7342339004
3,12,102,11.6913753593
4,15,103,36.7098005943
2,14,105,15.994449618
6,12,103,56.0769020286
2,11,101,43.5833315018
2,12,104,79.0291195822
6,12,102,11.5430882753
5,14,103,67.4015925199
3,13,104,59.4093575487
4,15,104,24.7486606111
4,15,102,19.8154716065
2,12,102,91.0641306258
2,11,104,90.434202936
6,12,102,11.7232286059
6,13,104,40.3993577826
2,15,103,30.9780871565
5,12,103,28.7835341276
3,12,104,20.2381115324
6,11,103,70.1172804027
6,13,104,41.2359253524
2,11,102,39.4151215006
2,11,104,91.0379998852
3,14,103,76.2623265391
4,14,104,38.5535651706
2,12,103,50.2791455909
2,13,103,19.9078841889
2,11,103,13.4962471808
6,13,103,37.8899575184
6,13,102,65.2684384266
3,15,102,11.9582520527
4,13,105,4.57705529677
4,11,101,81.0258041261
3,14,103,78.2865309464
5,12,105,90.2025261618
3,13,102,82.9840105474
5,12,105,89.2362896692
3,15,105,68.7011520165
2,11,105,95.6052114634
5,12,104,9.70671567148
4,12,103,31.2609192958
6,12,102,12.5926068331
4,14,103,35.7827314248
2,15,105,78.014029743
4,11,102,22.2247566799
2,13,103,19.2117974061
3,15,103,73.7307898062
4,12,105,61.4217919421
5,13,103,56.0456620828
6,14,101,13.2395757183
4,15,103,36.6583079269
6,14,103,92.1388358464
2,14,103,28.7485205062
4,11,104,10.7867668995
5,11,105,2.22768507318
2,12,102,89.9836366883
5,14,101,41.1508196755
3,14,103,76.5365857489
3,11,103,95.4832019417
6,11,103,69.0229041846
5,15,103,84.3417578955
4,13,103,35.5183397401
2,12,101,32.9552383691
2,12,102,90.8994500735
